School,Disabilities,File Name,Gen Ed,Resource Specialist,Socioeconomically Disadvantaged
Brooktree Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/43693776095335_tables.txt,60.41,Unknown,['29.3']
Phillips Magnet Elementary School,9.09,/Users/georgiachanning/LA/SARC_tables/28662666026900_tables.txt,23.94,['2.0'],['82.3']
Bitterwater Tully Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/35674546035000_tables.txt,Unknown,['.1'],['28.6']
Cecilia Lucero Solorio Elementary School,80.77,/Users/georgiachanning/LA/SARC_tables/36677026117519_tables.txt,58.59,"['2.0', '.1']",['49.5']
Shackelford Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/50711676052823_tables.txt,14.83,['.1'],['97.2']
Linden Elementary,95.65,/Users/georgiachanning/LA/SARC_tables/39685776041974_tables.txt,44.74,['.8'],['55.8']
School Year Tsukamoto Elementary rStreet8737 Brittany Park Dr rCity,055.63,/Users/georgiachanning/LA/SARC_tables/TsukamotoLong_tables.txt,055.63,"['1.0', '4.6', '10.63', '4.91', '29.69', '2.28']",['71.60']
Walteria Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/19650606023295_tables.txt,Unknown,Unknown,['17.10']
El Camino Creek Elementary,96.88,/Users/georgiachanning/LA/SARC_tables/37680806117709_tables.txt,76.88,"['2.5', '.1']",['5.6']
Sonoma Mountain Elementary Charter School,96.15,/Users/georgiachanning/LA/SARC_tables/49708476114755_tables.txt,61.41,['1.0'],['14.6']
Shoal Creek Elementary School,94.44,/Users/georgiachanning/LA/SARC_tables/37682966114854_tables.txt,72.38,Unknown,['11.6']
Fairview Elementary School,96.97,/Users/georgiachanning/LA/SARC_tables/11754816007470_tables.txt,34.04,"['1.0', '.1']",['85.1']
Lincoln Elementary Scho,7.69,/Users/georgiachanning/LA/SARC_tables/34673226033138_tables.txt,31.03,Unknown,['75.9']
Chaperone Field Trips rGlen City Elementary School rClassroom Helper rDuringthe2018,12.1,/Users/georgiachanning/LA/SARC_tables/56768286055578_tables.txt,12.1,Unknown,"['28027798.9', '1.1', '35.7', '28027798.9', '1.1', '30.3', '14614498.6', '1.4', '28.5', '14614498.6', '1.4', '25.0', '13413399.3', '0.7', '43.6', '13413399.3', '0.7', '36.1', '27527298.9', '1.1', '34.9', '27527298.9', '1.1', '29.8', '26426198.9', '1.1', '34.9', '26426198.9', '1.1', '29.1', '20320299.5', '0.5', '32.7', '20320299.5', '0.5', '28.7', '595898.3', '1.7', '15.5', '595898.3', '1.7', '12.1']"
Valley View Charter Montessori,88.89,/Users/georgiachanning/LA/SARC_tables/09618380107227_tables.txt,73.41,['.1'],['13.0']
August Elementary,0.00,/Users/georgiachanning/LA/SARC_tables/39686766042519_tables.txt,36.20,Unknown,['93.0']
Burton Valley Elementary School,97.78,/Users/georgiachanning/LA/SARC_tables/07617136003727_tables.txt,85.82,['2.4'],['1.0']
Perris Elementary School,4.41,/Users/georgiachanning/LA/SARC_tables/33671996032510_tables.txt,20.37,['1.0'],['95.2']
Pacific Union Elementary School,86.36,/Users/georgiachanning/LA/SARC_tables/12629766008098_tables.txt,52.46,['2.6'],['52.4']
Hisamatsu Tamura Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/30664986027924_tables.txt,77.85,"['1.0', '.1']",['17.8']
/Users/georgiachanning/LA/SARC_tables/56726036055768_tables.txt,10.81,/Users/georgiachanning/LA/SARC_tables/56726036055768_tables.txt,10.81,Unknown,"['22.0', '25.4', '8.5', '20320299.51', '0.49', '23.76', '20320299.51', '0.49', '20.79', '110110100.00', '0.00', '26.36', '110110100.00', '0.00', '25.45', '939298.92', '1.08', '20.65', '939298.92', '1.08', '15.22', '16516499.39', '0.61', '18.90', '16516499.39', '0.61', '18.29', '2222100.00', '0.00', '36.36', '2222100.00', '0.00', '18.18', '17217199.42', '0.58', '19.88', '17217199.42', '0.58', '20.47', '117117100.00', '0.00', '15.38', '117117100.00', '0.00', '18.80', '383797.37', '2.63', '8.11', '383797.37', '2.63', '10.81']"
Westmont Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/30666136029730_tables.txt,39.62,['2.0'],['79.4']
Brentwood Union Elementary,13.49,/Users/georgiachanning/LA/SARC_tables/07616556003651_tables.txt,51.88,Unknown,['38.2']
Mountain View Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/33672156032734_tables.txt,41.53,['1.0'],['79.5']
Lakeside Union School District,12.82,/Users/georgiachanning/LA/SARC_tables/37681896085047_tables.txt,234.2,Unknown,[]
Valle Elementary School,14.81,/Users/georgiachanning/LA/SARC_tables/19643946012223_tables.txt,819.1,Unknown,[]
Melbourne A Gauer Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/30664236027361_tables.txt,38.98,"['2.0', '.1']",['86.2']
District Name Charter Oak Unified,11.11,/Users/georgiachanning/LA/SARC_tables/19643786012140_tables.txt,49.74,"['.6', '.1']",['52.4']
Sunkist Elementary School,95.74,/Users/georgiachanning/LA/SARC_tables/30664236027403_tables.txt,24.56,"['2.8', '.1']",['88.4']
Palma Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/30665636028963_tables.txt,Unknown,Unknown,['60.1']
Poinsettia Elementary School,13.51,/Users/georgiachanning/LA/SARC_tables/56726526056188_tables.txt,54.55,Unknown,"['97.03', '2.97', '56.25', '97.03', '2.97', '37.76']"
District Name Buckeye Union Elementary School District,95.12,/Users/georgiachanning/LA/SARC_tables/09618386112361_tables.txt,79.37,['.1'],['8.6']
/Users/georgiachanning/LA/SARC_tables/33670416031900_tables.txt,Unknown,/Users/georgiachanning/LA/SARC_tables/33670416031900_tables.txt,Unknown,Unknown,['75.9']
Sun Empire Elementary,21.62,/Users/georgiachanning/LA/SARC_tables/10739996007371_tables.txt,55.36,['1.0'],['82.1']
/Users/georgiachanning/LA/SARC_tables/33752420117424_tables.txt,25.00,/Users/georgiachanning/LA/SARC_tables/33752420117424_tables.txt,53.41,Unknown,"['98.69', '1.31', '52.13', '98.68', '1.32', '51.73']"
District Expenditures Liberty Elementary School,1.54,/Users/georgiachanning/LA/SARC_tables/42691200102863_tables.txt,28.21,Unknown,['90.70']
Meadow Park Elementary School,60.47,/Users/georgiachanning/LA/SARC_tables/30736506106850_tables.txt,79.81,"['4.0', '.1']",['17.6']
San Marcos Unified School,36.54,/Users/georgiachanning/LA/SARC_tables/37737916105993_tables.txt,77.35,Unknown,['14.4']
Greeley Hill Elementary,Unknown,/Users/georgiachanning/LA/SARC_tables/22655320132258_tables.txt,Unknown,Unknown,['96.4']
